name,address,ratings,category,description,location
Tran Hung Dao Holy Temple,"36 Vo Thi Sau Street, Tan Dinh Ward, District 1",4.6,Shrines/Temples,A sacred temple dedicated to national hero Tran Hung Dao.,Ho Chi Minh 
Hoang Phap Buddhist Temple,"96 Tan Thoi 3 Hamlet, Tan Hiep Ward, Hoc Mon District",4.7,Shrines/Temples,A renowned Buddhist temple famous for meditation retreats and large gatherings.,Ho Chi Minh 
Southern Women's Museum,"202 Vo Thi Sau Street, Vo Thi Sau Ward, District 3",4.4,Museums,"A museum showcasing the history, culture, and contributions of Vietnamese women.",Ho Chi Minh 
Museum of Ho Chi Minh City,"65 Ly Tu Trong Street, Ben Nghe Ward, District 1",4.2,Museums,A museum featuring exhibitions on Saigon's development and historical artifacts.,Ho Chi Minh 
Museum of Traditional Vietnamese Medicine,"41 Hoang Du Khuong Street, Ward 12, District 10",4.5,Museums,A museum displaying traditional Vietnamese herbal medicine and ancient tools.,Ho Chi Minh 
Ao Dai Museum,"206/19/30 Long Thuan Street, Thu Duc City",4.4,Museums,A cultural museum dedicated to Vietnam national costume.,Ho Chi Minh 
Ton Duc Thang Museum,"5 Ton Duc Thang Street, Ben Nghe Ward, District 1",4.5,Museums,A museum honoring President Ton Duc Thang through historical documents and artifacts.,Ho Chi Minh 
Quang San Art Museum,"189B/3 Nguyen Van Huong Street, Thao Dien Ward, District 2",4.8,Museums,A contemporary art museum showcasing modern artworks in a minimalist space.,Ho Chi Minh 
Ho Chi Minh Campaign Museum,"2 Le Duan Street, Ben Nghe Ward, District 1",4.3,Museums,A museum focusing on the Ho Chi Minh Campaign that led to national reunification.,Ho Chi Minh 
Air Force Museum,"87 Thang Long Street, Ward 4, Tan Binh District",4.1,Museums,"A military museum featuring aircraft, uniforms, and aviation history.",Ho Chi Minh 
Cu Chi Tunnel,"Phu Hiep Hamlet, Cu Chi District",4.5,Museums,"A historic underground tunnel system used during the Vietnam War, now open for tours.",Ho Chi Minh 
Geological Museum of Vietnam,"2 Nguyen Binh Khiem Street, Ben Nghe Ward, District 1",4.4,Museums,"A national geological museum displaying minerals, fossils, and rock formations.",Ho Chi Minh 
Nha Rong Harbor - Ho Chi Minh Museum,"1 Nguyen Tat Thanh Street, Ward 13, District 4",4.7,Museums,"A historic port where Ho Chi Minh departed in 1911, now a memorial museum.",Ho Chi Minh 
Ho Chi Minh City Fine Arts Museum,"97A Pho Duc Chinh Street, Nguyen Thai Binh Ward, District 1",4.5,Museums,"A beautiful colonial-era museum displaying fine arts, sculptures, and modern artworks.",Ho Chi Minh 
Hanoi Train Street,"Tran Phu Street, Hang Bong Ward, Hoan Kiem District",4.6,Landmarks,A narrow residential street where a high-speed train passes just inches from homes and cafes. A popular photography spot.,Ha Noi
Imperial Citadel of Thang Long,"19c Hoang Dieu Street, Dien Bien Ward, Ba Dinh District",4.4,Landmarks,"A UNESCO World Heritage site, this was the political center of Vietnam for 13 centuries. Features excavation sites, palaces, and a museum.",Ha Noi
Hanoi Old Quarter,"Hang Ngang Street, Hang Dao Ward, Hoan Kiem District",4.6,Landmarks,"A historic area of Hanoi with 36 streets, known for its French-colonial architecture, bustling markets, street food, and artisan shops.",Ha Noi
Hanoi Opera House,"1 Trang Tien Street, Phan Chu Trinh Ward, Hoan Kiem District",4.6,Landmarks,"A grand, French-colonial theatre built in 1911. Hosts major cultural performances, including opera, ballet, and traditional music.",Ha Noi
Ho Chi Minh's Mausoleum,"1 Hung Vuong Street, Dien Bien Ward, Ba Dinh District",4.5,Shrines/Temples,A monumental granite tomb on Ba Dinh Square where the preserved body of President Ho Chi Minh is displayed.,Ha Noi
Bach Ma Temple,"76 Hang Buom Street, Hang Buom Ward, Hoan Kiem District",4.5,Shrines/Temples,"One of the four 'Sacred Temples' of Hanoi, dedicated to a white horse that reputedly guided the king in building the city's citadel.",Ha Noi
Hoa Lo Prison,"1 Hoa Lo Street, Tran Hung Dao Ward, Hoan Kiem District",4.5,Museums,Historic prison used by French colonists for political prisoners and later by North Vietnam for U.S. POWs; nicknamed the 'Hanoi Hilton'.,Ha Noi
Thang Long Water Puppet Theatre,"57B Dinh Tien Hoang Street, Hang Bac Ward, Hoan Kiem District",4.3,Landmarks,"A famous theatre by Hoan Kiem Lake, performing traditional Vietnamese water puppetry shows depicting rural life and folklore.",Ha Noi
One Pillar Pagoda,"Chua Mot Cot Street, Doi Can Ward, Ba Dinh District",4.3,Shrines/Temples,"A historic Buddhist temple built from a single stone pillar, designed to resemble a lotus flower. Part of the Ho Chi Minh Mausoleum complex.",Ha Noi
Temple Of Literature,"58 Quoc Tu Giam Street, Van Mieu - Quoc Tu Giam Ward, Dong Da District",4.6,Shrines/Temples,"A temple complex dedicated to Confucius, which hosted Vietnam's first national university. Features gardens, pavilions, and stone stelae of graduates.",Ha Noi
Vietnam National Fine Arts Museum,"66 Nguyen Thai Hoc Street, Dien Bien Ward, Ba Dinh District",4.5,Museums,"The country's primary art museum, showcasing Vietnamese fine arts from ancient times to the modern era, including folk art and 20th-century paintings.",Ha Noi
Weekend Walking Street,"5 Dinh Tien Hoang Street, Hang Trong Ward, Hoan Kiem District",4.5,Landmarks,"A large pedestrian-only area around Hoan Kiem Lake, open on weekend evenings. Features street food, live music, games, and cultural activities.",Ha Noi
Ta Hien Beer Street,"36-41 Luong Ngoc Quyen Street, Hang Buom Ward, Hoan Kiem District",4.3,Landmarks,"A vibrant street in the Old Quarter famous for its nightlife, street food, and cheap local 'bia hoi' (fresh beer), attracting crowds of locals and tourists.",Ha Noi
Vietnam Museum of Ethnology,"Nguyen Van Huyen Street, Quan Hoa Ward, Cau Giay District",4.6,Museums,"Focuses on the 54 official ethnic groups of Vietnam, featuring artifacts, daily life objects, and outdoor full-scale replica homes.",Ha Noi
Vietnamese Women's Museum,"36 Ly Thuong Kiet Street, Tran Hung Dao Ward, Hoan Kiem District",4.4,Museums,"Showcases the roles and contributions of Vietnamese women in history, family, fashion, and society.",Ha Noi
Vietnam Military History Museum,"Km6+500, CT03, Xuan Phuong",4.5,Museums,"Exhibits artifacts from Vietnam's military history, including the Indochina Wars and Vietnam War, with large outdoor displays of aircraft and tanks.",Ha Noi
Vietnam National Museum of History,"1 Trang Tien Street, Phan Chu Trinh Ward, Hoan Kiem District",4.3,Museums,"Covers Vietnam's history from prehistory up to the 1945 August Revolution, housed in a distinctive Indochinese-style building.",Ha Noi
Museum of the Vietnamese Revolution,"25 Tong Dan Street, Trang Tien Ward, Hoan Kiem District",4.5,Museums,"Chronicles Vietnam's revolutionary movements and fight for independence through documents, photographs, and artifacts.",Ha Noi
Air Force and Air Defense Museum,"173C Truong Chinh Street, Khuong Mai Ward, Thanh Xuan District",4.5,Museums,"Details the history of the Vietnam People's Air Force, with a focus on the Vietnam War. Features an outdoor static park of aircraft and air defense systems.",Ha Noi
Ho Chi Minh Trail Museum,"Km 15, National Highway 6, Ha Dong District",4.5,Museums,"Dedicated to the history of the Ho Chi Minh Trail, showcasing the logistical efforts, trucks, and equipment used during the Vietnam War.",Ha Noi
B52 Victory Museum,"157 Doi Can Street, Ba Dinh District",4.3,Museums,"Commemorates the 1972 'Christmas Bombing' campaign, detailing Hanoi's air defense. Features wreckage of a B-52 bomber and various air defense weaponry.",Ha Noi
Maison Centrale,"49 Hai Ba Trung Street, Tran Hung Dao Ward, Hoan Kiem District",4.6,Museums,"Historic colonial-era prison, also known as Hoa Lo Prison or the 'Hanoi Hilton', used for political prisoners and American POWs.",Ha Noi
The Quintessence of Vietnamese Craft Villages Center,"Hamlet 5, Bat Trang Village, Gia Lam District",4.3,Landmarks,"Located in Bat Trang ceramic village, this center showcases the essence of traditional Vietnamese craftsmanship, focusing on pottery and ceramics.",Ha Noi
Vietnam National Museum of Nature,"Gate 2 Academy of Science and Technology, 18 Hoang Quoc Viet Street, Nghia Do Ward, Cau Giay District",4.4,Museums,"Showcases Vietnam's natural history over 3.6 billion years, with exhibits on flora, fauna, and fossils, including a 3D theatre.",Ha Noi
Museum of Armored Forces,"108 Hoang Quoc Viet Street, Nghia Tan Ward, Cau Giay District",4.4,Museums,"Presents the history of the Vietnamese Armored Forces, featuring tanks and armored vehicles used in the Vietnam War and other conflicts.",Ha Noi
Vietnam Museum of Literature,"275 Au Co Street, Quang An Ward, Tay Ho District",4.3,Museums,"Celebrates Vietnam's literary history, featuring thousands of artifacts, manuscripts, and exhibits dedicated to renowned Vietnamese writers.",Ha Noi
Ngoc Son Temple,"Dinh Tien Hoang Street, Hang Trong Ward, Hoan Kiem District",4.4,Shrines/Temples,"Temple of the Jade Mountain. Located on an islet in Hoan Kiem Lake, accessed by the red The Huc Bridge. Dedicated to General Tran Hung Dao.",Ha Noi
Hai Ba Trung Temple,"12 Huong Vien Street, Dong Nhan Ward, Hai Ba Trung District",4.4,Shrines/Temples,"A temple dedicated to the two Trung Sisters (Trung Trac and Trung Nhi), who led a rebellion against Chinese rule in 40 AD.",Ha Noi
St. Joseph Cathedral,"1 Nha Tho Street, Hang Trong Ward, Hoan Kiem District",4.6,Shrines/Temples,"A late 19th-century neo-Gothic church, the oldest in Hanoi. Serves as the cathedral of the Roman Catholic Archdiocese of Hanoi.",Ha Noi
St Anthony Ham Long Church,"21 Ham Long Street, Phan Chu Trinh Ward, Hoan Kiem District",4.6,Shrines/Temples,"A Roman Catholic church built in 1934, known for its blend of Gothic architecture and traditional Vietnamese decorative elements.",Ha Noi
Ba Kieu Temple,"59 Dinh Tien Hoang Street, Hang Trong Ward, Hoan Kiem District",4.4,Shrines/Temples,"A temple located opposite Ngoc Son Temple (by Hoan Kiem Lake), dedicated to the princess Lieu Hanh, one of 'The Four Immortals' in Vietnamese folk religion.",Ha Noi
Voi Phuc Temple,"362 Kim Ma Street, Ngoc Khanh Ward, Ba Dinh District",4.7,Shrines/Temples,"Temple of the Kneeling Elephant. One of the 'Four Sacred Temples' of Hanoi, guarding the western gate of the ancient Thang Long citadel.",Ha Noi
Ly Trieu Quoc Su Pagoda,"50 Ly Quoc Su Street, Hang Trong Ward, Hoan Kiem District",4.4,Shrines/Temples,"A historic Buddhist pagoda dedicated to Ly Quoc Su, a meditation master and healer from the Ly Dynasty. Also known for its vegetarian food.",Ha Noi
Quan Thanh Temple,"190 Quan Thanh Street, Quan Thanh Ward, Ba Dinh District",4.5,Shrines/Temples,"One of the 'Four Sacred Temples' of Hanoi, guarding the northern gate. Dedicated to Huyen Thien Tran Vu, the God of the North.",Ha Noi
Quan Su Pagoda,"73 Quan Su Street, Tran Hung Dao Ward, Hoan Kiem District",4.7,Shrines/Temples,The central headquarters of the Vietnam Buddhist Sangha. A significant center for Buddhist activities in the northern region.,Ha Noi
Hong Phuc Tu - Hoe Nhai Pagoda,"19 Hang Than Street, Truc Bach Ward, Ba Dinh District",4.5,Shrines/Temples,"An ancient Buddhist pagoda, also known as Hoe Nhai Pagoda. Famous for a 17th-century statue depicting a kneeling king (Emperor Le Hy Tong).",Ha Noi
Ba Da Pagoda,"3 Nha Tho Street, Hang Trong Ward, Hoan Kiem District",4.5,Shrines/Temples,"An ancient pagoda located near St. Joseph's Cathedral, originally built in the 11th century. A quiet place of worship in the city center.",Ha Noi
Lang Pagoda,"116 Chua Lang Street, Lang Thuong Ward, Dong Da District",4.6,Shrines/Temples,"A large Buddhist temple complex, also known as Chieu Thien Tu. Dedicated to Tu Dao Hanh, a prominent monk from the Ly Dynasty.",Ha Noi
The Marble Mountains,"81 Huyen Tran Cong Chua Street, Hoa Hai Ward, Ngu Hanh Son District",4.3,Shrines/Temples,"A cluster of five marble and limestone hills, home to caves, grottoes, and Buddhist sanctuaries.",Da Nang
Da Nang Museum of Cham Sculpture,"02 2 Thang 9 Street, Binh Hien Ward, Hai Chau District",4.2,Museums,"A museum displaying the world's largest collection of Cham sculpture, dating from the 7th to the 15th centuries.",Da Nang
Dragon Bridge,"Dragon Bridge, An Hai Ward, Son Tra District",4.5,Landmarks,"A modern bridge over the Han River, famous for its dragon shape. It breathes fire and spouts water on weekend nights.",Da Nang
3D Museum Art in paradise Da Nang,"Lot 10, Tran Nhan Tong Street, Tho Quang Ward, Son Tra District",4.4,Museums,"An interactive 3D art museum with optical illusion paintings, allowing visitors to pose and become part of the artwork.",Da Nang
Ban Co Peak,"Ban Co Peak, Tho Quang Ward, Son Tra District",4.6,Landmarks,"A scenic viewpoint on Son Tra Peninsula, featuring a large statue of a deity playing chess. Offers panoramic views of Da Nang city.",Da Nang
Golden Bridge,Hoa Vang District,4.6,Landmarks,"A famous pedestrian bridge in the Ba Na Hills resort, held up by two giant stone hands. Offers stunning mountain views.",Da Nang
Sun Wheel,"1 Phan Dang Luu Street, Hoa Cuong Bac Ward, Hai Chau District",4.5,Landmarks,"A large Ferris wheel located in Asia Park, offering panoramic views of Da Nang city, the Han River, and the surrounding area.",Da Nang
Han River Bridge Viewpoint,Hai Chau District,4.5,Landmarks,"A popular spot to watch the Han River Bridge, a swing bridge that rotates on its axis at night to allow shipping to pass.",Da Nang
Ba Na Hills,"An Son Hamlet, Hoa Vang District",4.4,Landmarks,"A mountaintop resort complex accessible by cable car. Features the Golden Bridge, a French-themed village, and amusement park rides.",Da Nang
Vong Canh Pavilion,"Vong Canh Pavilion, Tho Quang Ward, Son Tra District",4.5,Landmarks,"A scenic viewpoint on Son Tra Peninsula, offering beautiful views of the sea and coastline.",Da Nang
Lady Buddha,"Linh Ung Pagoda, Hoang Sa Street, Tho Quang Ward, Son Tra District",4.7,Shrines/Temples,"A 67-meter tall statue of the Goddess of Mercy, located at the Linh Ung Pagoda on Son Tra Peninsula, overlooking the sea.",Da Nang
Ho Chi Minh Museum,"01 Duy Tan Street, Hoa Cuong Bac Ward, Hai Chau District",4.3,Museums,A museum dedicated to the life and career of Ho Chi Minh. This branch focuses on his connection to Military Zone 5.,Da Nang
Da Nang Fresco Village,"75 Nguyen Van Linh Street, Phuoc Ninh Ward, Hai Chau District",4,Landmarks,"An alleyway decorated with vibrant murals and fresco paintings, depicting local life and culture.",Da Nang
Da Nang Food Tour,"4 Tran Quoc Toan Street, Phuoc Ninh Ward, Hai Chau District",4.5,Landmarks,A guided tour service that takes visitors to sample a variety of local street food and dishes in Da Nang.,Da Nang
Phap Lam Pagoda,"574 Ong Ich Khiem Street, Phuoc Ninh Ward, Hai Chau District",4.6,Shrines/Temples,"A large, two-story Buddhist pagoda in the city center, known for its peaceful atmosphere, gardens, and an impressive seated Buddha statue.",Da Nang
Statue of Mother Au Co,"Pham Van Dong Street, An Hai Bac Ward, Son Tra District",4.5,Landmarks,"A statue located in a park, depicting the mythical 'Great Mother' of all Vietnamese people, Au Co.",Da Nang
Phuoc My Beach,"Vo Nguyen Giap Street, Phuoc My Ward, Son Tra District",4.7,Landmarks,"A popular section of Da Nang's long coastline, known for its white sand, clear water, and various water sports.",Da Nang
Thuy Son (Water Mountain),"Thuy Son, Hoa Hai Ward, Ngu Hanh Son District",4.6,Shrines/Temples,"The largest and most famous of the five Marble Mountains (Hon Thuy Son), known as 'Water Mountain'. It features numerous caves, pagodas, and viewpoints.",Da Nang
Sculpture Tunnel,"Ward 4, Da Lat, Lam Dong",4.2,Museums,A long clay tunnel featuring intricate sculptures depicting the history and culture of Da Lat.,Da Lat
Valley Of Love,"3-5-7 Mai Anh Dao Street, Ward 8, Da Lat, Lam Dong",4.4,Landmarks,"A romantic-themed park surrounding a large lake, featuring flower gardens, statues, and activities.",Da Lat
Lam Vien Square,"Tran Quoc Toan Street, Ward 1, Da Lat, Lam Dong",4.5,Landmarks,"The central square of Da Lat, famous for its two large glass structures resembling a wild sunflower and an artichoke bud.",Da Lat
Cam Ly Waterfall,"8b Hoang Van Thu Street, Ward 5, Da Lat, Lam Dong",3.1,Landmarks,"A waterfall located near the city center, though its popularity has declined due to pollution.",Da Lat
Bao Dai Palace 3,"1 Trieu Viet Vuong Street, Ward 4, Da Lat, Lam Dong",4.2,Museums,"The summer palace of Bao Dai, the last emperor of Vietnam, preserved as a museum with its original furnishings.",Da Lat
Datanla Waterfall Tourist Area,"National Highway 20, Prenn Pass, Ward 3, Da Lat, Lam Dong",4.4,Landmarks,"A popular waterfall complex, famous for its alpine coaster ride through the forest to the base of the falls.",Da Lat
Dalat Cable Car Tourist Area,"Robin Hill, Ward 3, Da Lat, Lam Dong",4.4,Landmarks,"A scenic cable car route that connects Robin Hill to the Truc Lam Zen Monastery, offering panoramic views of the city and pine forests.",Da Lat
Cu Lan Village,"DT722, Lat Commune, Lac Duong District, Lam Dong",4.6,Landmarks,"An ethnic-themed eco-tourism village nestled in a forest, offering cultural activities, jeep rides, and views of Cu Lan (slow loris).",Da Lat
Linh Son Pagoda,"120 Nguyen Van Troi Street, Ward 2, Da Lat, Lam Dong",4.5,Shrines/Temples,"A peaceful Buddhist pagoda in the city center, known for its elegant architecture and serene gardens.",Da Lat
Domaine de Marie,"1 Ngo Quyen Street, Ward 6, Da Lat, Lam Dong",4.6,Shrines/Temples,"A pink, French-colonial style convent and church, known for its unique architecture and shop selling items made by local orphans.",Da Lat
Prenn Waterfall,"National Highway 20, Prenn Pass, Ward 3, Da Lat, Lam Dong",3.7,Landmarks,"A large, scenic waterfall located at the entrance to Da Lat, set within a tourist park featuring elephant rides and a small cable car.",Da Lat
Dalat City Flower Garden,"02 Tran Nhan Tong Street, Ward 8, Da Lat, Lam Dong",4.2,Landmarks,"A large park showcasing a vast collection of flowers and plants, including orchids, roses, and hydrangeas.",Da Lat
St. Nicholas Cathedral of Da Lat,"15 Tran Phu Street, Ward 3, Da Lat, Lam Dong",4.6,Shrines/Temples,"The main Catholic cathedral of Da Lat, famous for its neo-Romanesque style and the rooster on its steeple.",Da Lat
Mong Mo Hill Tourist Area,"5 Mai Anh Dao Street, Ward 8, Da Lat, Lam Dong",4.3,Landmarks,"'Dreamy Hill.' A romantic park with themed gardens, cultural shows, a 'miniature Great Wall,' and views of the Valley of Love.",Da Lat
Hydrangea Field,"Trai Mat Area, Ward 11, Da Lat, Lam Dong",4.2,Landmarks,"A large flower farm in the Trai Mat area, famous for its vast, picturesque fields of hydrangea flowers.",Da Lat
Van Hanh Zen Monastery,"39 Phu Dong Thien Vuong Street, Ward 8, Da Lat, Lam Dong",4.5,Shrines/Temples,A Buddhist monastery known for its 24-meter high golden statue of a seated Buddha (Sakyamuni Thich Ca).,Da Lat
Cao Dai Temple of Da Lat,"To Phuoc, Ward 11, Da Lat, Lam Dong",4.7,Shrines/Temples,"A local temple for Cao Dai (Caodaism), a Vietnamese religion that synthesizes elements from many faiths.",Da Lat
Crazy House - Hang Nga Villa,"03 Huynh Thuc Khang Street, Ward 4, Da Lat, Lam Dong",4.3,Landmarks,"An unconventional guesthouse and art gallery with a surreal, organic design, resembling a giant tree and fantasy landscape.",Da Lat
Hong Dalat Valley,"Van Thanh - Suoi Hon, Da Lat, Lam Dong",4.7,Landmarks,A large rose garden and flower nursery located in Van Thanh Flower Village.,Da Lat
Da Lat Market,"Nguyen Thi Minh Khai Street, Ward 1, Da Lat, Lam Dong",4.5,Landmarks,"The main central market, bustling with vendors selling local produce, flowers, and specialties. Famous for its lively night market.",Da Lat
Fresh Garden Dalat,"90B Van Thanh, Ward 5, Da Lat, Lam Dong",4.2,Landmarks,"A large, colorful tourist garden filled with flower arrangements, themed photo spots, and large-scale sculptures.",Da Lat
QUE Garden,"Van Thanh, Ward 5, Da Lat, Lam Dong",4.8,Landmarks,"A Japanese-themed garden and cafe, known for its collection of bonsai trees, koi pond, and tranquil atmosphere.",Da Lat
Yersin Park,"Yersin Park, Ward 1, Da Lat, Lam Dong",4.3,Landmarks,"A public park located near Xuan Huong Lake, named after the famous physician Alexandre Yersin, who founded Da Lat.",Da Lat
Light Park,"1 Ap Anh Sang Park, Nguyen Van Cu Street, Ward 1, Da Lat, Lam Dong",4,Landmarks,"A public park in the city center known for its fountain, landscaping, and evening lights.",Da Lat
Linh An Pagoda,"Ba Dinh, Nam Ban Town, Lam Ha District, Lam Dong",4.7,Shrines/Temples,"A large pagoda outside Da Lat, famous for its massive, 71-meter tall statue of Quan Yin (Bodhisattva of Mercy) and a giant laughing Buddha statue.",Da Lat
Cai Rang Floating Market,"An Binh Ward, Ninh Kieu District",4.1,Landmarks,"The largest and most famous floating market in the Mekong Delta, where locals trade fruits, vegetables, and goods from boats.",Can Tho 
Ninh Kieu Wharf,"106 Hai Ba Trung Street, Tan An Ward, Ninh Kieu District",4.4,Landmarks,"A scenic riverside park and boat pier in the center of Can Tho, popular for evening strolls, boat tours, and floating restaurants.",Can Tho 
Truc Lam Phuong Nam Zen Monastery,"Provincial Road 923, My Khanh Commune, Phong Dien District",4.6,Shrines/Temples,"The largest Zen monastery in the Mekong Delta, known for its grand, traditional Vietnamese Buddhist architecture.",Can Tho 
My Khanh Tourist Village,"335 My Nhon Hamlet, My Khanh Commune, Phong Dien District",4,Landmarks,"An eco-tourism village offering a glimpse of rural Mekong Delta life, with fruit orchards, folk games, and a small zoo.",Can Tho 
Can Tho Museum,"1 Hoa Binh Avenue, Tan An Ward, Ninh Kieu District",4.2,Museums,"A large museum showcasing the history, culture, and achievements of Can Tho city and the surrounding Mekong Delta region.",Can Tho 
Hung King Temple,"Vo Van Kiet Street, Binh Thuy Ward, Binh Thuy District",4.6,Shrines/Temples,"A newly built, large-scale temple complex dedicated to the Hung Kings, the legendary founders of Vietnam.",Can Tho 
Can Tho Love Bridge,"Ninh Kieu Pedestrian Bridge, Tan An Ward, Ninh Kieu District",4.6,Landmarks,"A pedestrian bridge near Ninh Kieu Wharf, famous for its colorful evening lights and 'love locks' left by couples.",Can Tho 
Can Tho Market,"136 Hai Ba Trung Street, Tan An Ward, Ninh Kieu District",4.2,Landmarks,"The main indoor market in Can Tho, located in a historic building. Sells fresh produce, local goods, and souvenirs.",Can Tho 
Binh Thuy ancient house,"144 Bui Huu Nghia Street, Binh Thuy Ward, Binh Thuy District",4,Museums,"A well-preserved 19th-century house (Nha Co Binh Thuy) blending French, Chinese, and Vietnamese architecture. Famous as a filming location for 'The Lover'.",Can Tho 
Linh Mekong Tour Can Tho,"14/32 Ly Tu Trong Street, Thoi Binh Ward, Ninh Kieu District",5,Landmarks,A highly-rated local tour operator specializing in floating market and Mekong Delta boat tours.,Can Tho 
Ong Pagoda (Quang Trieu Assembly Hall),"32 Hai Ba Trung Street, Tan An Ward, Ninh Kieu District",4.6,Shrines/Temples,"A vibrant 19th-century Chinese pagoda, notable for its intricate woodcarvings, colorful decorations, and incense coils.",Can Tho 
Mekong Delta River,"Hung Phu Ward, Ninh Kieu District",4.5,Landmarks,"A general reference to the Mekong River, which is the lifeblood of the region, encompassing the floating markets and islands.",Can Tho 
Military Zone 9 Museum,"6 Hoa Binh Avenue, Tan An Ward, Ninh Kieu District",4.4,Museums,"A museum displaying artifacts, weapons, and vehicles from the Vietnam War, focusing on the military history of the Mekong Delta (Military Region 9).",Can Tho 
Relic Park Plums,"Ta Thi Phi Street, An Binh Ward, Binh Thuy District",4.2,Landmarks,"A local eco-garden or orchard where visitors can see and pick plum fruits, popular during the harvest season.",Can Tho 
Bang Lang Stork Sanctuary,"Thuan An Ward, Thot Not District",3.8,Landmarks,"A large bird sanctuary (Vuon Co Bang Lang) where thousands of storks, herons, and other birds gather, best viewed at dawn or dusk.",Can Tho 
Museum of Tarot,"44 Nguyen Khuyen Street, Tan An Ward, Ninh Kieu District",4.6,Museums,"A unique museum dedicated to the history, art, and symbolism of Tarot cards from around the world.",Can Tho 
Muniransay Khmer Buddhist Temple,"36 Hoa Binh Avenue, Tan An Ward, Ninh Kieu District",4.4,Shrines/Temples,"A prominent Khmer Buddhist temple (Wat Munirangsay) in the city center, known for its vibrant, ornate Theravada architecture.",Can Tho 
